,stationId,year,pop_1,pop_2
376,Genadendal,1841,1605,2359
377,Mamre,1841,,
378,Elim,1841,,
379,Enon,1841,,
380,Neuherrnhut_GRL,1842,,
381,Lichtenfels,1842,,
382,Lichtenau,1842,,
383,Friedrichsthal,1842,,
384,Nain,1842,,
385,Okak,1842,,
386,Hoffenthal,1842,,
387,Hebron,1842,,
388,Neuherrnhut_ST,1842,,
389,Emmaus_SJ,1842,,
390,Friedensthal_SC,1842,,
391,Friedensfeld_SC,1842,,
392,Bethabara,1842,,
393,Paramaribo,1842,,
394,PlantageCH,1842,,
395,Genadendal,1842,1938,2507
396,Mamre,1842,,
397,Elim,1842,,
398,Enon,1842,,
399,Neuherrnhut_GRL,1843,,
400,Lichtenfels,1843,,
401,Lichtenau,1843,,
402,Friedrichsthal,1843,,
403,Nain,1843,,
404,Okak,1843,,
405,Hoffenthal,1843,,
406,Hebron,1843,,
407,Neuherrnhut_ST,1843,,
408,Emmaus_SJ,1843,,
409,Friedensthal_SC,1843,,
410,Friedensfeld_SC,1843,,
411,Bethabara,1843,,
412,Paramaribo,1843,,
413,PlantageCH,1843,,
414,Genadendal,1843,1808,2617
415,Mamre,1843,,
416,Elim,1843,,
417,Enon,1843,,
418,Neuherrnhut_GRL,1844,,
419,Lichtenfels,1844,,
420,Lichtenau,1844,,
421,Friedrichsthal,1844,,
422,Nain,1844,,
423,Okak,1844,,
424,Hoffenthal,1844,,
425,Hebron,1844,,
426,Neuherrnhut_ST,1844,,
427,Emmaus_SJ,1844,,
428,Friedensthal_SC,1844,,
429,Friedensfeld_SC,1844,,
430,Bethabara,1844,,
431,Paramaribo,1844,,
432,PlantageCH,1844,,
433,Genadendal,1844,1897,2644
434,Mamre,1844,,
435,Elim,1844,,
436,Enon,1844,,
437,Neuherrnhut_GRL,1860,214,394
438,Lichtenfels,1860,180,327
439,Lichtenau,1860,216,744
440,Friedrichsthal,1860,202,472
441,Nain,1860,99,283
442,Okak,1860,112,308
443,Hoffenthal,1860,80,253
444,Hebron,1860,64,311
